bromwell 0.00064
high 0.0768
cartoon 0.01912
comedy 0.13048
ran 0.00968
same 0.15672
programs 0.00312
school 0.05832
teachers 0.00272
35 0.00336
teaching 0.00312
profession 0.00288
lead 0.0492
believe 0.0848
high's 8e-05
satire 0.01064
closer 0.00992
reality 0.04616
scramble 0.00016
survive 0.01144
financially 0.00152
insightful 0.00328
students 0.01256
right 0.13192
through 0.19136
pathetic 0.00472
teachers' 8e-05
pomp 0.0004
pettiness 0.00016
whole 0.10408
situation 0.0304
remind 0.00664
schools 0.0024
knew 0.0368
saw 0.13432
episode 0.07928
student 0.01296
repeatedly 0.00416
tried 0.02016
burn 0.0032
down 0.13024
immediately 0.01952
recalled 0.0008
 3.06288
classic 0.09312
line 0.06216
inspector 0.00624
i'm 0.14744
sack 0.0008
your 0.19384
welcome 0.01032
expect 0.04616
adults 0.0168
age 0.05112
far 0.10384
fetched 0.0016
pity 0.00856
isn't 0.10544
homelessness 0.00024
houselessness 8e-05
george 0.03728
carlin 0.00072
stated 0.00504
issue 0.01144
never 0.25552
plan 0.01488
help 0.0788
those 0.19816
street 0.02896
once 0.1012
considered 0.0208
human 0.0768
everything 0.088
going 0.13936
work 0.18064
vote 0.00912
matter 0.046
homeless 0.00608
lost 0.06208
cause 0.01736
worrying 0.0016
things 0.14648
racism 0.00656
war 0.09528
iraq 0.00312
pressuring 0.00024
kids 0.06512
succeed 0.0048
technology 0.0104
elections 0.00016
inflation 0.00056
they'll 0.00376
next 0.0672
streets 0.01392
given 0.0692
bet 0.00864
live 0.06992
month 0.00576
without 0.13272
luxuries 0.00016
home 0.07992
entertainment 0.03648
sets 0.0368
bathroom 0.00448
pictures 0.022
wall 0.0132
computer 0.01312
treasure 0.0096
goddard 0.00024
bolt's 8e-05
lesson 0.01144
mel 0.00552
brooks 0.00768
directs 0.00528
stars 0.06616
bolt 0.00072
plays 0.11
rich 0.02656
world 0.18112
until 0.0752
deciding 0.0024
sissy 0.00456
rival 0.00944
jeffery 0.00064
tambor 0.0004
thirty 0.00352
days 0.05416
luxuries; 8e-05
succeeds 0.00888
wants 0.05352
future 0.04592
project 0.01464
making 0.08776
buildings 0.00336
bet's 0.00016
thrown 0.01248
bracelet 0.00072
leg 0.00328
monitor 0.00096
every 0.1556
move 0.02792
can't 0.11496
step 0.0156
off 0.18104
sidewalk 0.00368
he's 0.10776
nickname 0.00104
pepto 0.00016
vagrant 0.00024
written 0.05584
forehead 0.00032
meets 0.0352
including 0.04896
woman 0.1076
name 0.05272
molly 0.00296
lesley 0.00016
ann 0.01432
warren 0.0048
exdancer 8e-05
got 0.13048
divorce 0.00496
before 0.17112
losing 0.01088
pals 0.00168
sailor 0.00296
howard 0.01136
morris 0.00448
fumes 8e-05
teddy 0.00136
wilson 0.00792
already 0.04936
used 0.07168
they're 0.03792
survivors 0.00376
reaching 0.00368
mutual 0.0036
agreements 0.00024
fight 0.04464
flight 0.00632
kill 0.03936
killed 0.03496
love 0.33328
connection 0.00976
between 0.16016
wasn't 0.06584
necessary 0.01608
found 0.10416
stinks 0.00128
brooks' 0.00096
observant 0.00096
prior 0.00776
shows 0.11472
tender 0.00656
side 0.05392
compared 0.02152
slapstick 0.00752
blazing 0.00144
saddles 0.0004
young 0.18464
frankenstein 0.0024
spaceballs 0.0004
having 0.10056
something 0.16576
valuable 0.00336
day 0.11472
hand 0.04224
stupid 0.02112
money 0.05544
maybe 0.07344
should 0.16688
give 0.1236
instead 0.05632
using 0.02896
monopoly 0.00048
inspire 0.0028
others 0.072
brilliant 0.0716
overacting 0.00232
dramatic 0.03008
hobo 0.00016
lady 0.034
scenes 0.19032
clothes 0.01072
warehouse 0.00056
second 0.07768
none 0.02632
corn 0.00136
face 0.06224
anything 0.0852
take 0.13384
lawyers 0.0012
superb 0.04456
accused 0.00576
