unnatural,0.00344
feelings,0.00856
pig,0.004
starts,0.05376
opening,0.03944
terrific,0.00608
example,0.05872
absurd,0.01744
comedy,0.112
formal,0.00048
orchestra,0.00104
audience,0.09048
turned,0.04008
insane,0.01064
violent,0.01792
mob,0.00544
crazy,0.02584
chantings,8e-05
singers,0.00256
unfortunately,0.07352
stays,0.00456
whole,0.14088
general,0.02944
narrative,0.01416
eventually,0.02584
making,0.1192
off,0.25896
putting,0.0144
those,0.176
era,0.01488
should,0.2284
cryptic,0.00088
dialogue,0.07368
shakespeare,0.00736
seem,0.0916
easy,0.02072
third,0.02704
grader,0.00104
technical,0.01136
level,0.03672
better,0.26472
might,0.13112
cinematography,0.03208
future,0.02352
vilmos,0.00016
zsigmond,0.00016
stars,0.06024
sally,0.00456
kirkland,0.00152
frederic,0.0004
forrest,0.00136
briefly,0.00512
airport,0.0048
'77,0.0008
brand,0.00504
new,0.1444
luxury,0.00176
747,0.0016
plane,0.01432
loaded,0.0036
valuable,0.00408
paintings,0.00168
,3.28192
belonging,0.0008
rich,0.01896
businessman,0.00192
philip,0.0028
stevens,0.0036
james,0.03064
stewart,0.00544
flying,0.01312
bunch,0.04688
vip's,8e-05
estate,0.00504
preparation,0.0008
opened,0.00624
public,0.0208
museum,0.00216
board,0.00976
daughter,0.04056
julie,0.00504
kathleen,0.00144
quinlan,8e-05
son,0.03968
jetliner,8e-05
takes,0.0744
planned,0.0028
midair,0.00064
hijacked,0.00088
copilot,8e-05
chambers,0.00024
robert,0.02896
foxworth,0.00048
accomplice's,0.00016
banker,0.00064
monte,0.0008
markham,0.00016
wilson,0.00656
michael,0.03936
pataki,0.00064
knock,0.00504
passengers,0.00184
crew,0.02248
sleeping,0.00776
gas,0.00752
plan,0.018
steal,0.01064
cargo,0.00128
land,0.01272
disused,0.00048
strip,0.00536
isolated,0.00384
island,0.02528
descent,0.00304
almost,0.12456
hits,0.01024
oil,0.00488
rig,0.0008
ocean,0.00272
loses,0.00992
control,0.01832
sending,0.00304
crashing,0.0024
sea,0.01024
sinks,0.00224
bottom,0.02184
right,0.12512
bang,0.00368
middle,0.034
bermuda,0.00024
triangle,0.00264
air,0.02384
short,0.06504
supply,0.00296
water,0.01912
leaking,0.00032
having,0.10184
flown,0.0004
200,0.00224
miles,0.0092
course,0.09056
problems,0.03336
mount,0.00088
survivor's,8e-05
await,0.00056
help,0.07192
fast,0.03144
running,0.04488
known,0.03216
under,0.05016
slightly,0.01952
different,0.06944
tile,8e-05
1977,0.00216
second,0.07184
sequel,0.04072
smashhit,0.00016
disaster,0.01704
thriller,0.02512
1970,0.00312
directed,0.0436
jerry,0.01168
jameson,0.00144
once,0.08096
again,0.14288
predecessors,0.00152
can't,0.16648
say,0.2368
sort,0.06568
forgotten,0.01224
classic,0.0488
entertaining,0.04624
although,0.08072
necessarily,0.00656
reasons,0.02264
three,0.08296
far,0.1252
actually,0.1948
liked,0.04704
favourite,0.00584
nice,0.06856
hijacking,0.00056
didn't,0.21096
sinking,0.00288
maybe,0.10896
makers,0.0208
trying,0.11832
cross,0.00904
original,0.15616
another,0.1788
popular,0.01656
flick,0.06152
period,0.0252
poseidon,0.00024
adventure,0.01
1972,0.00272
submerged,0.00032
until,0.0652
stark,0.00112
dilemma,0.00184
facing,0.00208
trapped,0.0072
inside,0.02112
either,0.09152
suffocate,8e-05
runs,0.0188
drown,0.0012
floods,0.00016
doors,0.00424
decent,0.0636
idea,0.10368
unsympathetic,0.0032
character's,0.01376
dull,0.05304
lethargic,0.00144
setpieces,0.00104
real,0.16664
lack,0.05536
danger,0.00856
suspense,0.02704
tension,0.02136
means,0.02968
missed,0.02136
opportunity,0.01536
rather,0.1112
sluggish,0.00128
keeps,0.01992
entertained,0.01
108,0.0004
odd,0.0208
minutes,0.16792
happens,0.05048
there's,0.14976
urgency,0.00128
thought,0.14024
navy,0.00328
become,0.04984
involved,0.04448
things,0.14512
pick,0.01744
few,0.17224
shots,0.044
huge,0.0416
ships,0.00288
helicopters,0.00152
something,0.22856
lacking,0.01432
george,0.02832
kennedy,0.00216
jinxed,8e-05
airline,0.00128
worker,0.00312
joe,0.02296
patroni,0.00016
back,0.1872
gets,0.13688
couple,0.07024
scenes,0.21856
barely,0.02632
says,0.04624
anything,0.14808
preferring,0.00024
look,0.17616
worried,0.00392
background,0.02256
home,0.06472
video,0.0744
theatrical,0.00736
version,0.07792
run,0.0496
us,0.13312
tv,0.10072
versions,0.00688
add,0.03488
extra,0.0104
hour,0.05656
footage,0.03
including,0.03264
credits,0.03144
sequence,0.03072
flashbacks,0.01056
flesh,0.0108
longer,0.01904
rescue,0.01024
discovery,0.0032
dead,0.08008
bodies,0.00928
navigator,8e-05
am,0.12088
sure,0.11328
sit,0.03528
through,0.2024
near,0.0312
cut,0.04504
expected,0.0312
dated,0.008
badly,0.04344
horrible,0.08216
fashions,0.00168
interior,0.00152
design,0.01272
choices,0.00536
toy,0.0064
model,0.00888
effects,0.10416
aren't,0.04272
along,0.06208
sequels,0.01152
pride,0.00464
place,0.0888
razzie,0.00184
award's,8e-05
hall,0.00536
shame,0.03128
lots,0.03184
worse,0.098
reckon,0.00096
that's,0.15896
harsh,0.00632
action,0.11464
pace,0.01696
slow,0.04568
excitement,0.00896
generated,0.00312
pretty,0.16792
properly,0.0076
production,0.07592
values,0.01832
